"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
926,"2019-09-01 00:04:13.7690","2019-09-01 00:19:39.7910",490,"8 Ave & W 33 St",40.751551,-73.993934,461,"E 20 St & 2 Ave",40.73587678,-73.98205027,30370,"Subscriber",1982,1
469,"2019-09-01 00:04:14.7140","2019-09-01 00:12:04.3370",3526,"31 St & 23 Ave",40.7747878,-73.9125551,3605,"31 Ave & Crescent St",40.7658346,-73.9265474,27781,"Subscriber",1989,1
1144,"2019-09-01 00:04:19.0730","2019-09-01 00:23:23.6250",3357,"W 106 St & Amsterdam Ave",40.8008363,-73.9664492472,3357,"W 106 St & Amsterdam Ave",40.8008363,-73.9664492472,38274,"Customer",1997,1
485,"2019-09-01 00:04:19.2170","2019-09-01 00:12:25.1710",3094,"Graham Ave & Withers St",40.7169811,-73.94485918,3112,"Milton St & Franklin St",40.72906,-73.95779,33156,"Customer",1991,0
905,"2019-09-01 00:04:20.6770","2019-09-01 00:19:25.8770",284,"Greenwich Ave & 8 Ave",40.7390169121,-74.0026376103,495,"W 47 St & 10 Ave",40.76269882,-73.99301222,32762,"Customer",1995,1
407,"2019-09-01 00:04:25.5890","2019-09-01 00:11:13.2180",350,"Clinton St & Grand St",40.71559509,-73.9870295,3435,"Grand St & Elizabeth St",40.718822,-73.99596,38607,"Subscriber",1988,1
1313,"2019-09-01 00:04:25.6170","2019-09-01 00:26:18.6810",3163,"Central Park West & W 68 St",40.7734066,-73.97782542,3497,"Pleasant Ave & E 116 St",40.7949879,-73.9333349,35247,"Subscriber",1988,1
474,"2019-09-01 00:04:25.9190","2019-09-01 00:12:20.8360",470,"W 20 St & 8 Ave",40.74345335,-74.00004031,383,"Greenwich Ave & Charles St",40.735238,-74.000271,34094,"Subscriber",1981,1
1757,"2019-09-01 00:04:26.0540","2019-09-01 00:33:43.6820",308,"St James Pl & Oliver St",40.71307916,-73.99851193,284,"Greenwich Ave & 8 Ave",40.7390169121,-74.0026376103,28503,"Subscriber",1971,2
2160,"2019-09-01 00:04:32.3300","2019-09-01 00:40:33.0200",3664,"North Moore St & Greenwich St",40.72019521437465,-74.0103006362915,3077,"Stagg St & Union Ave",40.70877084,-73.95095259,39556,"Subscriber",1969,0
782,"2019-09-01 00:04:35.8370","2019-09-01 00:17:38.3540",3160,"Central Park West & W 76 St",40.77896784,-73.97374737,3345,"Madison Ave & E 99 St",40.78948541553215,-73.95242929458618,30587,"Subscriber",1985,1
1152,"2019-09-01 00:04:37.1170","2019-09-01 00:23:49.1580",3295,"Central Park W & W 96 St",40.79127,-73.964839,468,"Broadway & W 56 St",40.7652654,-73.98192338,34396,"Customer",1983,1
1113,"2019-09-01 00:04:37.4150","2019-09-01 00:23:10.6020",3725,"2 Ave & E 72 St",40.7687620293096,-73.95840793848038,516,"E 47 St & 1 Ave",40.75206862,-73.96784384,16052,"Subscriber",1991,2
1871,"2019-09-01 00:04:37.8010","2019-09-01 00:35:49.7350",479,"9 Ave & W 45 St",40.76019252,-73.9912551,346,"Bank St & Hudson St",40.73652889,-74.00618026,35120,"Customer",1978,2
540,"2019-09-01 00:04:42.7800","2019-09-01 00:13:43.5760",262,"Washington Park",40.6917823,-73.9737299,3537,"Carlton Ave & Dean St",40.6809741,-73.9710097,39572,"Customer",1984,1
2256,"2019-09-01 00:04:45.1040","2019-09-01 00:42:21.3760",3576,"Park Pl & Vanderbilt Ave",40.6767,-73.969024,3329,"Degraw St & Smith St",40.6829151,-73.99318208,39596,"Customer",1969,0
2251,"2019-09-01 00:04:48.8860","2019-09-01 00:42:19.8970",3576,"Park Pl & Vanderbilt Ave",40.6767,-73.969024,3329,"Degraw St & Smith St",40.6829151,-73.99318208,32275,"Customer",1969,0
320,"2019-09-01 00:04:56.3730","2019-09-01 00:10:16.4950",3087,"Metropolitan Ave & Meeker Ave",40.71413311,-73.95234386,3714,"Division Av & Hooper St",40.70684203101325,-73.9544353965357,39699,"Subscriber",1983,2
783,"2019-09-01 00:04:57.7430","2019-09-01 00:18:01.5100",297,"E 15 St & 3 Ave",40.734232,-73.986923,3711,"E 13 St & Avenue A",40.72966729392978,-73.98067966103554,20759,"Subscriber",1959,2
450,"2019-09-01 00:04:57.9120","2019-09-01 00:12:28.0750",470,"W 20 St & 8 Ave",40.74345335,-74.00004031,383,"Greenwich Ave & Charles St",40.735238,-74.000271,39441,"Subscriber",1980,1
1786,"2019-09-01 00:05:00.1150","2019-09-01 00:34:47.0590",355,"Bayard St & Baxter St",40.71602118,-73.99974372,3755,"DeKalb Ave & Franklin Ave",40.69064807082943,-73.95746178925037,17558,"Subscriber",1995,1
329,"2019-09-01 00:05:01.1410","2019-09-01 00:10:30.7320",311,"Norfolk St & Broome St",40.7172274,-73.98802084,317,"E 6 St & Avenue B",40.72453734,-73.98185424,27442,"Subscriber",1997,1
749,"2019-09-01 00:05:03.3980","2019-09-01 00:17:33.2290",476,"E 31 St & 3 Ave",40.74394314,-73.97966069,312,"Allen St & Stanton St",40.722055,-73.989111,16201,"Subscriber",1990,1
1587,"2019-09-01 00:05:04.8510","2019-09-01 00:31:32.7140",3002,"South End Ave & Liberty St",40.711512,-74.015756,301,"E 2 St & Avenue B",40.72217444,-73.98368779,28396,"Subscriber",1987,2
289,"2019-09-01 00:05:05.1920","2019-09-01 00:09:54.9080",526,"E 33 St & 5 Ave",40.74765947,-73.98490707,528,"2 Ave & E 31 St",40.74290902,-73.97706058,30736,"Subscriber",1987,1
1164,"2019-09-01 00:05:08.3490","2019-09-01 00:24:33.0080",3087,"Metropolitan Ave & Meeker Ave",40.71413311,-73.95234386,531,"Forsyth St & Broome St",40.71893904,-73.99266288,25273,"Customer",1994,1
738,"2019-09-01 00:05:10.2540","2019-09-01 00:17:29.1580",2021,"W 45 St & 8 Ave",40.75929124,-73.98859651,490,"8 Ave & W 33 St",40.751551,-73.993934,16046,"Customer",1969,0
724,"2019-09-01 00:05:11.0750","2019-09-01 00:17:15.6830",151,"Cleveland Pl & Spring St",40.722103786686034,-73.99724900722504,387,"Centre St & Chambers St",40.71273266,-74.0046073,26361,"Customer",1995,1
753,"2019-09-01 00:05:11.2240","2019-09-01 00:17:44.8390",2021,"W 45 St & 8 Ave",40.75929124,-73.98859651,490,"8 Ave & W 33 St",40.751551,-73.993934,35590,"Customer",1969,0
698,"2019-09-01 00:05:15.2850","2019-09-01 00:16:53.4190",504,"1 Ave & E 16 St",40.73221853,-73.98165557,254,"W 11 St & 6 Ave",40.73532427,-73.99800419,30028,"Subscriber",1996,1
1773,"2019-09-01 00:05:17.8570","2019-09-01 00:34:50.8870",355,"Bayard St & Baxter St",40.71602118,-73.99974372,3755,"DeKalb Ave & Franklin Ave",40.69064807082943,-73.95746178925037,26975,"Customer",1969,0
